Score;Segment;Index
555;Champions;1
554;Champions;1
553;Potential Loyalist;3
552;Potential Loyalist;3
551;Potential Loyalist;3
545;Champions;1
544;Champions;1
543;Potential Loyalist;3
542;Potential Loyalist;3
541;Potential Loyalist;3
535;Need Attention;6
534;Need Attention;6
533;Potential Loyalist;3
532;Potential Loyalist;3
531;Potential Loyalist;3
525;Promising;5
524;Promising;5
523;Promising;5
522;Promising;5
521;Promising;5
515;Promising;5
514;Promising;5
513;Promising;5
512;New Customers;4
511;New Customers;4
455;Champions;1
454;Champions;1
453;Potential Loyalist;3
452;Potential Loyalist;3
451;Potential Loyalist;3
445;Champions;1
444;Potential Loyalist;3
443;Need Attention;6
442;Potential Loyalist;3
441;Potential Loyalist;3
435;Potential Loyalist;3
434;Need Attention;6
433;Potential Loyalist;3
432;Potential Loyalist;3
431;Potential Loyalist;3
425;Promising;5
424;Promising;5
423;Potential Loyalist;3
422;New Customers;4
421;New Customers;4
415;Promising;5
414;Promising;5
413;Promising;5
412;New Customers;4
411;New Customers;4
355;Potential Loyalist;3
354;Potential Loyalist;3
353;Potential Loyalist;3
352;Potential Loyalist;3
351;Potential Loyalist;3
345;Potential Loyalist;3
344;Potential Loyalist;3
343;Need Attention;6
342;Potential Loyalist;3
341;Potential Loyalist;3
335;Potential Loyalist;3
334;Need Attention;6
333;Potential Loyalist;3
332;Hibernating customers;10
331;About To Sleep;7
325;Need Attention;6
324;Need Attention;6
323;Potential Loyalist;3
322;Hibernating customers;10
321;About To Sleep;7
315;Promising;5
314;Promising;5
313;Promising;5
312;About To Sleep;7
311;New Customers;4
255;At Risk;8
254;At Risk;8
253;At Risk;8
252;At Risk;8
251;About To Sleep;7
245;At Risk;8
244;At Risk;8
243;At Risk;8
242;At Risk;8
241;About To Sleep;7
235;At Risk;8
234;At Risk;8
233;Hibernating customers;10
232;Hibernating customers;10
231;About To Sleep;7
225;At Risk;8
224;At Risk;8
223;Hibernating customers;10
222;Hibernating customers;10
221;About To Sleep;7
215;Cannot Lose Them;9
214;Cannot Lose Them;9
213;About To Sleep;7
212;Hibernating customers;10
211;Hibernating customers;10
155;Cannot Lose Them;9
154;Cannot Lose Them;9
153;At Risk;8
152;At Risk;8
151;Lost customers;11
145;At Risk;8
144;Cannot Lose Them;9
143;At Risk;8
142;At Risk;8
141;Lost customers;11
135;At Risk;8
134;At Risk;8
133;At Risk;8
132;Hibernating customers;10
131;Lost customers;11
125;At Risk;8
124;At Risk;8
123;Hibernating customers;10
122;Hibernating customers;10
121;Lost customers;11
115;Cannot Lose Them;9
114;Cannot Lose Them;9
113;Cannot Lose Them;9
112;Lost customers;11
111;Lost customers;11
